,auctionid,enc_win_bid,enc_win_bidder,item
0,1638893549,94850804.5,03450408414504424853414504285748240141034809087571,Cartier wristwatch
1,1639453840,94850982.0,1803454501534857032872041608420348,Cartier wristwatch
2,1641142160,94850827.01,257204427503242414280442280372,Cartier wristwatch
3,1642243766,94850982.0,01447209380144,Cartier wristwatch
4,1643075711,94851852.0,286226645053757145216218040108031621,Cartier wristwatch
5,1643544538,94851032.0,0921422814670342,Cartier wristwatch
6,1643885624,94850953.0,482203724201,Cartier wristwatch
7,1643903116,94850667.87,22422221696964,Cartier wristwatch
8,1643903372,94850653.0,5028162621,Cartier wristwatch
9,1645883276,94851237.0,2418076350,Cartier wristwatch
10,1645914432,94851138.0,2872017503160422044203,Cartier wristwatch
11,1646353713,94852362.0,25037203452138046969,Cartier wristwatch
12,1647149304,94851379.56,755704144871674234,Cartier wristwatch
13,1647870862,94851877.0,257203242462037263,Cartier wristwatch
14,1648233039,94850803.5,4871420941720316635301714508757162,Cartier wristwatch
15,1648782304,94851032.0,7501722426696366,Cartier wristwatch
16,1649131866,94850931.98,1804282571252501450172717544,Cartier wristwatch
17,1649726994,94853127.0,167221623838,Cartier wristwatch
18,1639826019,94852652.0,165425547157425301714508757162,Cartier wristwatch
19,1640257270,94850668.45,67014544011871214850,Cartier wristwatch
20,1640495398,94852427.0,6201484809450425,Cartier wristwatch
21,1640809330,94851187.0,412138380946695007,Cartier wristwatch
22,1640809333,94852352.0,1671457504242404627153090157717108757162,Cartier wristwatch
23,1641112143,94851507.0,6201424209620342160338,Cartier wristwatch
24,1641154540,94853052.0,3871420171420350696963,Cartier wristwatch
25,1641962219,94851062.0,54012501424804280372535771486201044508757162,Cartier wristwatch
26,1642322610,94852426.0,287203282503727209,Cartier wristwatch
27,1642414724,94851137.0,0128017248245301714508757162,Cartier wristwatch
28,1642421109,94850932.0,167203242409141803242409,Cartier wristwatch
29,1642424500,94850777.0,24014216720128040142,Cartier wristwatch
30,1644327264,94851052.0,420348011803,Cartier wristwatch
31,1645542737,94851013.0,42714501,Cartier wristwatch
32,1646079608,94851065.0,28187571044224,Cartier wristwatch
33,1646448593,94850829.5,19210303421603180450696969,Cartier wristwatch
34,1646988233,94851247.0,25287204620324,Cartier wristwatch
35,1648706567,94850829.5,4248722116030121,Cartier wristwatch
36,1648968984,94851587.0,57542866656446,Cartier wristwatch
37,1649028956,94851358.21,21247562165301714508757162,Cartier wristwatch
38,1650406935,94852152.0,18037248714848044172014244,Cartier wristwatch
39,1638843936,94852252.0,7501724571242407696565,Cartier wristwatch
40,1638844284,94851127.0,425418047216627162,Cartier wristwatch
41,1638844464,94851367.0,011601626221727209,Cartier wristwatch
42,1638844729,94850947.0,2409452203244803720404,Cartier wristwatch
43,1638917885,94850854.5,2524634607,Cartier wristwatch
44,1639226378,94852352.0,165425547157425301714508757162,Cartier wristwatch
45,1639253454,94850882.0,75426218015301714508757162,Cartier wristwatch
46,1639309309,94851001.99,75012504480145241921017203,Cartier wristwatch
47,1639323228,94850812.0,570345220348,Cartier wristwatch
48,1639333116,94851128.62,720342711850,Cartier wristwatch
49,1639341131,94850883.51,2421724104422818042835187109,Cartier wristwatch
50,1639364679,94851822.0,444571220307666665695301714508757162,Cartier wristwatch
51,1639425502,94850851.5,42714501,Cartier wristwatch
52,1639672910,94856027.0,0324627116032124,Cartier wristwatch
53,1639929579,94852152.0,34346426466664,Cartier wristwatch
54,1639979107,94850730.5,044209037216726224,Cartier wristwatch
55,1640179146,94851082.0,25577148712441450124570372,Cartier wristwatch
56,1640550476,94850927.0,28187571044224,Cartier wristwatch
57,1640653873,94850829.5,160318720448487116,Cartier wristwatch
58,1640793161,94853022.0,72714804752424,Cartier wristwatch
59,1640936328,94850944.0,570125250972712201,Cartier wristwatch
60,1641062012,94852227.0,5425016272715301714508757162,Cartier wristwatch
61,1641242797,94851077.0,44040372716353670318482208757162,Cartier wristwatch
62,1641457876,94850997.0,015762011644,Cartier wristwatch
63,1641587440,94850976.99,25012475014563666666,Cartier wristwatch
64,1641628327,94852521.78,2421167157014204,Cartier wristwatch
65,1641629836,94851177.0,2503480372412142285301714508757162,Cartier wristwatch
66,1641722275,94850782.0,2444670769636926,Cartier wristwatch
67,1641783552,94852552.0,011604577521,Cartier wristwatch
68,1641880134,94851083.0,410442426664,Cartier wristwatch
69,1641880908,94851029.0,25012475014563666666,Cartier wristwatch
70,1642005995,94851250.26,0121424816714818041624,Cartier wristwatch
71,1642185637,94851137.0,16012204162471422804724550,Cartier wristwatch
72,1642514892,94851652.0,72014525570871620142531603755703724808757162,Cartier wristwatch
73,1642534283,94851752.0,5424030416,Cartier wristwatch
74,1642561397,94852452.0,16247571454504037246,Cartier wristwatch
75,1642875447,94851458.0,540342427121,Cartier wristwatch
76,1642876200,94851468.0,1644180109,Cartier wristwatch
77,1642911743,94851057.0,25012475014563666666,Cartier wristwatch
78,1643136423,94851027.0,24014216240345450372,Cartier wristwatch
79,1643187764,94850903.05,54712403255722442175015362244208757162,Cartier wristwatch
80,1643201832,94852226.0,25570445674546506469,Cartier wristwatch
81,1643212361,94853227.0,09712162012448,Cartier wristwatch
82,1643244227,94851652.0,011601626221727209,Cartier wristwatch
83,1644046945,94854427.0,24047271757571532572711604280908420348,Cartier wristwatch
84,1644049270,94852227.0,242125037224487172032645032424,Cartier wristwatch
85,1644077790,94852027.0,18014545095064,Cartier wristwatch
86,1644077820,94851001.0,621853670345452472034108757162,Cartier wristwatch
87,1644109746,94853730.0,7575163464,Cartier wristwatch
88,1644138548,94852727.0,011601626221727209,Cartier wristwatch
89,1644197869,94850927.0,62017244096646,Cartier wristwatch
90,1644252877,94852151.99,244409280472450118,Cartier wristwatch
91,1644309984,94851057.0,5757412841,Cartier wristwatch
92,1644343468,94851665.99,755704144871674234,Cartier wristwatch
93,1644357387,94851267.0,5757412841,Cartier wristwatch
94,1644594033,94851125.0,187172011871720118717201,Cartier wristwatch
95,1644681469,94851562.0,037124420301165301714508757162,Cartier wristwatch
96,1644724061,94850932.0,48714228090142,Cartier wristwatch
97,1644739924,94851082.0,28720162646464,Cartier wristwatch
98,1644752795,94852427.0,2871454157017544240167,Cartier wristwatch
99,1644760539,94850954.23,18712424250116,Cartier wristwatch
100,1645594382,94851127.0,480301352571483528047245,Cartier wristwatch
101,1645989170,94850907.0,75211616076466465301714508757162,Cartier wristwatch
102,1646007296,94850740.5,75720138092667014875570324,Cartier wristwatch
103,1646145109,94850982.0,220172220172013518,Cartier wristwatch
104,1646573469,94851853.0,044222032448627171720350,Cartier wristwatch
105,1647320738,94851079.87,25752471414867017203620142,Cartier wristwatch
106,1647329406,94851627.0,636434656964506671,Cartier wristwatch
107,1647567213,94852152.0,4503622428036224,Cartier wristwatch
108,1647637035,94851017.0,444172030922712853480162250118010908727208757162,Cartier wristwatch
109,1647844282,94851662.0,620445450954715742,Cartier wristwatch
110,1647846714,94851532.45,45754669,Cartier wristwatch
111,1648041601,94850962.0,18712816014218712448,Cartier wristwatch
112,1648176677,94850933.88,480462032221,Cartier wristwatch
113,1648193761,94850806.5,480462032221,Cartier wristwatch
114,1648252368,94851307.0,412138380946695007,Cartier wristwatch
115,1648363974,94851034.0,6271480471424650,Cartier wristwatch
116,1648613621,94851032.0,5438160342420424,Cartier wristwatch
117,1648661746,94851167.0,4803014503014164,Cartier wristwatch
118,1649173313,94850976.99,67452553620316040171420308420348,Cartier wristwatch
119,1649513497,94852252.0,22255701620850696969,Cartier wristwatch
120,1649567847,94852952.0,5403484804035063,Cartier wristwatch
121,1649639405,94852507.0,24444404421622014545532475714848241845214141084203,Cartier wristwatch
122,1649718196,94852426.0,72722421621801,Cartier wristwatch
123,1649757877,94851387.0,25037203452138046969,Cartier wristwatch
124,1649808226,94852347.0,0442240416031404,Cartier wristwatch
125,1649845539,94851236.99,24620172482804724569506926,Cartier wristwatch
126,1649848613,94851727.0,425418047216627162,Cartier wristwatch
127,1649858595,94850829.5,28450116047145096607,Cartier wristwatch
128,1649944294,94852112.0,2448727142287118,Cartier wristwatch
129,1650162165,94851247.0,50264442047503,Cartier wristwatch
130,1650483277,94850751.25,750442160926343464,Cartier wristwatch
131,1650515990,94851477.0,240428420316250403750324044275,Cartier wristwatch
132,1650530689,94853677.0,72254541214216044228,Cartier wristwatch
